Date,Year,Month,Revenue_Growth,Gross_Margin,EBITDA_Margin,Net_Margin,ROA,ROE,Current_Ratio,Quick_Ratio,Debt_to_Equity,Working_Capital,Cash_Conversion_Days,Customer_Acquisition_Cost,Customer_Lifetime_Value
2022-12-01,2022,12,0.1077384991931015,0.39196087616113195,0.1034207209358792,0.0565655407019094,0.062221289238826326,0.12444257847765265,2.0,1.6,1.0,213471.96541551253,77.62463102283098,587.9635480537161,3048.640656964263
2023-01-01,2023,1,0.1694806450880876,0.35928294883319073,0.11122748945057939,0.062420617087934546,0.04754915837895139,0.09509831675790278,2.0,1.6,1.0,258367.36191513253,63.398223476203036,353.3869986855634,3812.36301100877
2023-02-01,2023,2,0.1561853236549721,0.3536005060790167,0.05455650529151296,0.019917378968634717,0.01707103400164141,0.03414206800328282,2.0,1.6,1.0,266999.9200894473,81.07045565116624,602.8548017183687,6857.17985461065
2023-03-01,2023,3,0.04838068451965569,0.2730981716767014,-0.003457511337412138,-0.023593133503059104,-0.02102738948450275,-0.0420547789690055,2.0,1.6,1.0,245072.46900392565,39.179028049713764,341.1413508811909,7215.557747906315
2023-04-01,2023,4,0.06551218797161373,0.34564764658809144,0.09012707109538518,0.04659530332153888,0.03708591739389157,0.07417183478778314,2.0,1.6,1.0,288760.0246227161,62.12148611055965,307.06757913666326,3873.630716292776
2023-05-01,2023,5,0.12328627766058953,0.33214437142441267,0.038445479832618916,0.007834109874464184,0.007096548766024871,0.014193097532049743,2.0,1.6,1.0,241435.4417951862,45.413030858742886,579.209291612251,2350.727684651323
2023-06-01,2023,6,-0.05037896226551436,0.3042298941148963,0.02046860064707464,-0.005648549514694021,-0.0050800536631796615,-0.010160107326359323,2.0,1.6,1.0,243478.42651105198,46.47241524000752,558.228150137415,6055.047470524256
2023-07-01,2023,7,0.15358089798951632,0.30156775047335543,0.04444482608119059,0.012333619560892945,0.013231976290052827,0.026463952580105653,2.0,1.6,1.0,195006.6443007839,30.949265505934946,404.6540146845323,6912.242342715396
2023-08-01,2023,8,0.11112679357468025,0.3351939861467712,0.05224205018728796,0.018181537640465973,0.020386316701545518,0.040772633403091035,2.0,1.6,1.0,171406.93439018307,50.233627965325226,743.3148753978044,6635.736364696295
2023-09-01,2023,9,0.10851275486613482,0.37103226613826795,0.11153357262378773,0.06265017946784078,0.04778762341449674,0.09557524682899347,2.0,1.6,1.0,286809.50480326975,54.071274842338966,420.1736475228804,4061.362848654224
2023-10-01,2023,10,0.11600452418847637,0.25569070493947343,-0.030919648020343166,-0.04418973601525738,-0.042361638427374594,-0.08472327685474919,2.0,1.6,1.0,261373.60067418986,56.544596188840174,699.1178679508532,6017.615696803771
2023-11-01,2023,11,-0.005098397224935325,0.3513256937724608,0.03509606753417219,0.005322050650629138,0.004347035852977497,0.008694071705954994,2.0,1.6,1.0,296573.3563044408,65.56871949920536,608.0791586620708,3384.9751349240723
2023-12-01,2023,12,0.05990052570812901,0.3517355884852621,0.07044747669305967,0.03183560751979475,0.02801489958964585,0.0560297991792917,2.0,1.6,1.0,322534.0210421685,41.41949176914407,231.403325471905,4270.858540915215
2024-01-01,2024,1,0.1031662523508361,0.3954693727397369,0.10257268152489643,0.055929511143672304,0.05689091100099585,0.1137818220019917,2.0,1.6,1.0,265305.0208013091,35.326043646466104,776.9994415728879,5809.760273546199
2024-02-01,2024,2,0.1641932369792967,0.39952681625653436,0.13439275691343713,0.07979456768507785,0.07023437661618093,0.14046875323236185,2.0,1.6000000000000003,1.0,335560.3345289188,40.228676290435054,445.6867118031223,4536.134680377138
2024-03-01,2024,3,-0.05805984929382379,0.3465718512596985,0.08990828141703096,0.04643121106277321,0.050881669990760214,0.10176333998152043,2.0,1.6,1.0,222420.87651581076,88.44987771768093,212.01581355549467,6423.081350043459
2024-04-01,2024,4,0.16900993167597791,0.38916266461681187,0.11570977984471986,0.06578233488353989,0.057242808472919064,0.11448561694583813,2.0,1.6,1.0,338719.90210315573,44.619402963832,602.9350661678224,2557.5748662763394
2024-05-01,2024,5,0.20264016721173908,0.2846428622858785,0.031424191156634265,0.0025681433674756985,0.001994949759679255,0.00398989951935851,2.0,1.6,1.0,359693.17612036667,66.50918475958747,504.1030590922896,2955.824123713882
2024-06-01,2024,6,-0.07791183842229744,0.41184753554390413,0.14745769758900434,0.08959327319175325,0.07931818721899418,0.15863637443798836,2.0,1.6000000000000003,1.0,330083.2394225181,37.05894170841351,336.4143800576593,4050.047011381525
2024-07-01,2024,7,-0.016330633730957056,0.3326775895251512,0.059863553766319154,0.023897665324739366,0.02336868305917937,0.04673736611835874,2.0,1.6,1.0,265764.4319608963,60.58345480510189,695.1716649397381,3678.2212308288754
2024-08-01,2024,8,0.22983545668578156,0.2567112744427622,-0.021461367603772118,-0.03709602570282909,-0.03507439920170302,-0.07014879840340604,2.0,1.6,1.0,265368.0498626118,82.40019970343087,297.0585268112658,6717.655740542567
2024-09-01,2024,9,0.03686496707036102,0.3106457698128774,0.01015033171556176,-0.013387251213328682,-0.009690793387002218,-0.019381586774004436,2.0,1.5999999999999999,1.0,385946.44233666995,60.069179950920585,438.3072664575266,5238.395712559657
2024-10-01,2024,10,0.11978251847042251,0.3088969920002755,0.0021793157308144582,-0.01936551320188916,-0.013968314372175076,-0.027936628744350153,2.0,1.6,1.0,422421.1491022068,70.4582283845429,519.4887155356557,6328.53240397239
2024-11-01,2024,11,0.18655725142599452,0.390790514248272,0.10444836082100427,0.05733627061575319,0.04917458454377371,0.09834916908754741,2.0,1.5999999999999999,1.0,371506.04127795954,49.351678670784906,213.73629498567215,2922.7468980081867
2024-12-01,2024,12,-0.021734947926291076,0.34934990540610467,0.017047384695631468,-0.008214461478276402,-0.007071507534248523,-0.014143015068497047,2.0,1.6,1.0,408775.1943202065,87.43937327367523,543.8248573585096,7596.3844428575285
